"전환 보고서(2026.01.01.~2026.02.28.),2236008"
전환 유형,캠페인,광고그룹,소재,키워드,일별,총 전환수,총 전환매출액(원)
구매완료,1-1.파워링크_PC,01-1.매트리스_고효율,nad-a001-01-000000426074934,-,2026.01.02.,1,465500
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000307698612,-,2026.01.13.,1,516160
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000307698612,-,2026.01.31.,1,431020
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000307698612,-,2026.02.04.,1,534640
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000307698612,-,2026.02.13.,1,142610
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000307698612,-,2026.02.19.,1,256690
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000318253206,-,2026.02.22.,1,46200
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000318253206,-,2026.02.23.,1,348670
구매완료,1-1.파워링크_PC,01-2.매트리스,nad-a001-01-000000318253206,매트릭스추천,2026.02.08.,1,371920
구매완료,1-1.파워링크_PC,02-1.메모리폼_고효율,nad-a001-01-000000364979770,-,2026.02.04.,1,214500
구매완료,1-1.파워링크_PC,02-1.메모리폼_고효율,nad-a001-01-000000426079797,-,2026.02.23.,2,678540
구매완료,1-1.파워링크_PC,02-1.메모리폼_고효율,nad-a001-01-000000426080253,메모리폼침대,2026.01.14.,1,228800
구매완료,1-1.파워링크_PC,02-1.메모리폼_고효율,nad-a001-01-000000426080978,-,2026.02.27.,1,245870
구매완료,1-1.파워링크_PC,02-2.메모리폼,nad-a001-01-000000364933975,-,2026.01.07.,1,525680
구매완료,1-1.파워링크_PC,03-1.토퍼_고효율,nad-a001-01-000000307698807,-,2026.02.24.,1,248430
구매완료,1-1.파워링크_PC,03-1.토퍼_고효율,nad-a001-01-000000318312787,-,2026.02.04.,1,96570
구매완료,1-1.파워링크_PC,03-1.토퍼_고효율,nad-a001-01-000000318312787,-,2026.02.25.,1,147310
구매완료,1-1.파워링크_PC,03-1.토퍼_고효율,nad-a001-01-000000323013984,-,2026.02.02.,1,160910
구매완료,1-1.파워링크_PC,03-1.토퍼_고효율,nad-a001-01-000000323013984,-,2026.02.09.,2,353530
구매완료,1-1.파워링크_PC,03-2.토퍼,nad-a001-01-000000307699124,-,2026.01.31.,1,114150
