광고 소재 이름,광고 소재 ID,광고 그룹 이름,광고 그룹 ID,캠페인 이름,캠페인 ID,기간,총비용,시작일,종료일,노출수,클릭수,구매완료 수,구매완료 전환매출액
PC/MO,33111543,P_26_스토어_GFA_카탈로그_전환_논타겟,3997237,P_GFA_스토어_설세일 카탈로그_전환,1213810,2026.01.31.,172755,2026.01.28.,2026.02.12.,41717,421,18,4730280
PC/MO,33111543,P_26_스토어_GFA_카탈로그_전환_논타겟,3997237,P_GFA_스토어_설세일 카탈로그_전환,1213810,2026.01.30.,170366,2026.01.28.,2026.02.12.,33154,379,8,2092190
PC/MO,33111543,P_26_스토어_GFA_카탈로그_전환_논타겟,3997237,P_GFA_스토어_설세일 카탈로그_전환,1213810,2026.01.29.,160941,2026.01.28.,2026.02.12.,21849,355,27,8534910
PC/MO,33111543,P_26_스토어_GFA_카탈로그_전환_논타겟,3997237,P_GFA_스토어_설세일 카탈로그_전환,1213810,2026.01.28.,161675,2026.01.28.,2026.02.12.,16868,225,1,1087690
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_사은혜택_배너형(PC),33096621,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.30.,0,2026.01.29.,2026.01.29.,0,0,2,1223420
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_사은혜택_배너형(PC),33096621,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.29.,7097,2026.01.29.,2026.01.29.,2193,10,0,0
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_사은혜택_배너형(모바일),33096619,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.31.,0,2026.01.29.,2026.01.29.,0,0,0,0
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_사은혜택_배너형(모바일),33096619,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.30.,0,2026.01.29.,2026.01.29.,0,0,0,0
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_사은혜택_배너형(모바일),33096619,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.29.,38098,2026.01.29.,2026.01.29.,2868,56,9,4620600
260129_브랜드데이라이브_전환_고객여정+알림받기_쇼핑프로모션_할인_배너형(PC),33096599,P_260129_스토어_브랜드데이라이브_GFA_쇼핑프로모션_전환_고객여정+알림받기,3990157,P_GFA_스토어_쇼핑프로모션_전환,838253,2026.01.29.,623,2026.01.29.,2026.01.29.,642,1,0,0
