광고 소재 이름,광고 소재 ID,광고 그룹 이름,광고 그룹 ID,캠페인 이름,캠페인 ID,기간,총비용,시작일,종료일,노출수,클릭수,구매완료 수,구매완료 전환매출액
260330_스프링폼라이브_전환_CRM유사타겟_네이티브_할인_2,34491347,P_260330_스토어_스프링폼라이브_GFA_네이티브_전환_CRM유사타겟,4155808,P_GFA_스토어_DA_전환,1189378,2026.03.30.,70869,2026.03.30.,2026.03.30.,9344,41,0,0
260330_스프링폼라이브_전환_CRM유사타겟_네이티브_할인_1,34491337,P_260330_스토어_스프링폼라이브_GFA_네이티브_전환_CRM유사타겟,4155808,P_GFA_스토어_DA_전환,1189378,2026.03.30.,50152,2026.03.30.,2026.03.30.,7903,30,0,0
260330_스프링폼라이브_전환_리타겟_네이티브_할인_2,34491297,P_260330_스토어_스프링폼라이브_GFA_네이티브_전환_리타겟,4155811,P_GFA_스토어_DA_전환,1189378,2026.03.31.,0,2026.03.30.,2026.03.30.,0,0,1,375610
260330_스프링폼라이브_전환_리타겟_네이티브_할인_2,34491297,P_260330_스토어_스프링폼라이브_GFA_네이티브_전환_리타겟,4155811,P_GFA_스토어_DA_전환,1189378,2026.03.30.,88768,2026.03.30.,2026.03.30.,10217,56,1,303080
260330_스프링폼라이브_전환_리타겟_네이티브_할인_1,34491277,P_260330_스토어_스프링폼라이브_GFA_네이티브_전환_리타겟,4155811,P_GFA_스토어_DA_전환,1189378,2026.03.30.,25930,2026.03.30.,2026.03.30.,3082,15,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_2,34491227,P_260330_스토어_스프링폼라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4155784,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,106251,2026.03.30.,2026.03.30.,10056,57,1,256690
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1,34491217,P_260330_스토어_스프링폼라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4155784,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,87759,2026.03.30.,2026.03.30.,8301,45,1,175260
260330_스프링폼라이브_트래픽_맞춤타겟_네이티브_할인_2,34491195,P_260330_스토어_스프링폼라이브_GFA_네이티브_트래픽_맞춤타겟,4155778,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,0,2026.03.30.,2026.03.30.,956,0,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_네이티브_할인_1,34491131,P_260330_스토어_스프링폼라이브_GFA_네이티브_트래픽_맞춤타겟,4155778,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,194460,2026.03.30.,2026.03.30.,45136,153,1,152300
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_사은_4,34491083,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,11632,2026.03.30.,2026.03.30.,14281,10,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_사은_3,34491021,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,39345,2026.03.30.,2026.03.30.,53380,49,1,124650
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_사은_2,34491013,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,18625,2026.03.30.,2026.03.30.,23277,24,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_사은_1,34491001,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,11383,2026.03.30.,2026.03.30.,13184,11,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_USP_3,34490999,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,6500,2026.03.30.,2026.03.30.,9889,6,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_USP_2,34490973,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,10952,2026.03.30.,2026.03.30.,18107,15,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_USP_1,34490925,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,13835,2026.03.30.,2026.03.30.,22672,20,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_할인_3,34490807,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,8426,2026.03.30.,2026.03.30.,12360,9,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_할인_2,34490795,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,17946,2026.03.30.,2026.03.30.,23319,25,0,0
260330_스프링폼라이브_전환_CRM유사타겟_스마트채널_할인_1,34490705,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_CRM유사타겟,4155802,P_GFA_스토어_DA_전환,1189378,2026.03.30.,34288,2026.03.30.,2026.03.30.,32666,39,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_사은_4,34490633,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,8858,2026.03.30.,2026.03.30.,7256,10,1,475730
260330_스프링폼라이브_전환_리타겟_스마트채널_사은_3,34490615,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,665,2026.03.30.,2026.03.30.,3395,1,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_사은_2,34490603,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,255,2026.03.30.,2026.03.30.,3924,1,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_사은_1,34490581,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,1203,2026.03.30.,2026.03.30.,3036,1,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_USP_3,34490559,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,14717,2026.03.30.,2026.03.30.,12983,16,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_USP_2,34490551,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,39161,2026.03.30.,2026.03.30.,29126,41,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_USP_1,34490527,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,24192,2026.03.30.,2026.03.30.,21052,25,1,386340
260330_스프링폼라이브_전환_리타겟_스마트채널_할인_3,34490489,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,15779,2026.03.30.,2026.03.30.,17421,22,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_할인_2,34490479,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,17696,2026.03.30.,2026.03.30.,16498,20,0,0
260330_스프링폼라이브_전환_리타겟_스마트채널_할인_1,34490473,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.31.,0,2026.03.30.,2026.03.30.,0,0,1,538220
260330_스프링폼라이브_전환_리타겟_스마트채널_할인_1,34490473,P_260330_스토어_스프링폼라이브_GFA_스마트채널_전환_리타겟,4155804,P_GFA_스토어_DA_전환,1189378,2026.03.30.,45906,2026.03.30.,2026.03.30.,30180,48,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_사은_4,34490287,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,12431,2026.03.30.,2026.03.30.,15491,21,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_사은_3,34490279,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,21038,2026.03.30.,2026.03.30.,22705,37,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_사은_2,34490271,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,9578,2026.03.30.,2026.03.30.,15370,15,1,565860
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_사은_1,34490267,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,6748,2026.03.30.,2026.03.30.,11767,13,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_USP_3,34490263,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,6224,2026.03.30.,2026.03.30.,11472,11,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_USP_2,34490209,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,2369,2026.03.30.,2026.03.30.,6828,4,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_USP_1,34490201,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,880,2026.03.30.,2026.03.30.,3029,1,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_할인_3,34490191,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,750,2026.03.30.,2026.03.30.,3339,1,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_할인_2,34490181,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,34345,2026.03.30.,2026.03.30.,35690,61,0,0
260330_스프링폼라이브_트래픽_고객여정+알림받기타겟_스마트채널_할인_1,34490157,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_고객여정+알림받기타겟,4155798,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,4576,2026.03.30.,2026.03.30.,10151,9,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_사은_4,34490145,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,5323,2026.03.30.,2026.03.30.,17044,14,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_사은_3,34490127,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,16890,2026.03.30.,2026.03.30.,39003,40,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_사은_2,34490111,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,6519,2026.03.30.,2026.03.30.,18359,16,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_사은_1,34490095,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,6041,2026.03.30.,2026.03.30.,20210,16,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_USP_3,34490079,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,14401,2026.03.30.,2026.03.30.,34307,40,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_USP_2,34490073,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,15513,2026.03.30.,2026.03.30.,40713,40,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_USP_1,34489941,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,8312,2026.03.30.,2026.03.30.,21222,21,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_할인_3,34489863,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,5724,2026.03.30.,2026.03.30.,19313,16,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_할인_2,34489849,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,14835,2026.03.30.,2026.03.30.,32545,37,0,0
260330_스프링폼라이브_트래픽_맞춤타겟_스마트채널_할인_1,34489839,P_260330_스토어_스프링폼라이브_GFA_스마트채널_트래픽_맞춤타겟,4155788,P_GFA_스토어_DA_트래픽,1189388,2026.03.30.,5772,2026.03.30.,2026.03.30.,12562,15,0,0
260329_The가구연합라이브_전환_CRM유사타겟_네이티브_할인_1,34394327,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_전환_CRM유사타겟,4139855,P_GFA_스토어_DA_전환,1189378,2026.03.29.,68744,2026.03.29.,2026.03.29.,3699,37,0,0
260329_The가구연합라이브_전환_CRM유사타겟_네이티브_사은_1,34394293,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_전환_CRM유사타겟,4139855,P_GFA_스토어_DA_전환,1189378,2026.03.29.,56483,2026.03.29.,2026.03.29.,3772,37,0,0
260329_The가구연합라이브_전환_리타겟_네이티브_할인_1,34394261,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_전환_리타겟,4139858,P_GFA_스토어_DA_전환,1189378,2026.03.29.,98266,2026.03.29.,2026.03.29.,5234,55,0,0
260329_The가구연합라이브_전환_리타겟_네이티브_사은_1,34394231,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_전환_리타겟,4139858,P_GFA_스토어_DA_전환,1189378,2026.03.30.,0,2026.03.29.,2026.03.29.,0,0,0,0
260329_The가구연합라이브_전환_리타겟_네이티브_사은_1,34394231,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_전환_리타겟,4139858,P_GFA_스토어_DA_전환,1189378,2026.03.29.,22571,2026.03.29.,2026.03.29.,1263,10,0,0
260329_The가구연합라이브_트래픽_맞춤타겟_네이티브_할인_1,34394185,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_트래픽_맞춤타겟,4139734,P_GFA_스토어_DA_트래픽,1189388,2026.03.29.,0,2026.03.29.,2026.03.29.,720,0,0,0
260329_The가구연합라이브_트래픽_맞춤타겟_네이티브_사은_1,34394155,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_트래픽_맞춤타겟,4139734,P_GFA_스토어_DA_트래픽,1189388,2026.03.29.,197519,2026.03.29.,2026.03.29.,43780,184,0,0
260329_The가구연합라이브_트래픽_고객여정+알림받기타겟_네이티브_할인_1,34394113,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4139742,P_GFA_스토어_DA_트래픽,1189388,2026.03.29.,189500,2026.03.29.,2026.03.29.,12381,106,0,0
260329_The가구연합라이브_트래픽_고객여정+알림받기타겟_네이티브_사은_1,34394065,P_260329_스토어_The가구연합앵콜라이브_GFA_네이티브_트래픽_고객여정+알림받기타겟,4139742,P_GFA_스토어_DA_트래픽,1189388,2026.03.29.,6784,2026.03.29.,2026.03.29.,1587,4,0,0
